דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"מדרש שוחר טוב: מדרש תהילים ומשלי רבתא עם מדרש שמואל רבתא, פראג שע""ג (עם פירוש קצר מאת ר' יצחק בר' שמשון כ""ץ).",דפוס חשוב,מדרש שמואל,1.8:1:1.0,Prague,1613,,,,,
"מדרש שוחר טוב והוא מדרש שמואל, זאלקווא תק""ס (עם פירוש רבי יעקב מבראד).",,מדרש שמואל,1.8:1:1.0,Zhovkva,1800,,,,,
"מדרש שמואל, ש' בובר (מהדיר), קרקוב תרנ""ג.",,מדרש שמואל,1.8:1:1.0,Krakow,1893,,,,,
"מדרש שמואל, ירושלים תש""ס (עם פירושי ר' שמואל יפה אשכנזי, ר""י כץ, ר""י מבראד, עץ יוסף ענף יוסף, הגהות רד""ל, ועוד).",,מדרש שמואל,1.8:1:1.0,Jerusalem,2000,,,,,
"מדרש שמואל על פי דפוס קושטא רע""ז עם מבוא חילופי נוסחאות והערות, מסורת המדרש ופירוש מקיף, ב' ליפשיץ (מהדיר), ירושלים תשס""ט.",כפולה,מדרש שמואל,1.8:1:1.0,Constantinople,1517,,,,,
"מדרש תהילים, קושטא רע""ב (המדרש מודפס עד מזמור קי""ח).",דפוס חשוב,מדרש תהילים – שוחר טוב,לא נמצא,Constantinople,1512,,,,,
"מדרש תהילים, סלוניקי רע""ה (המדרש כולל גם את חלקו השני, ואת פירוש אלפא ביתא לר' מתתיה היצהרי).",דפוס חשוב,מדרש תהילים – שוחר טוב,לא נמצא,Salonika,1515,,,,,
"מדרש שוחר טוב, ונציה ש""ו (נדפס יחד עם מדרש שמואל).",דפוס חשוב,מדרש תהילים – שוחר טוב,לא נמצא,Venice,1546,,,,,
"מדרש שוחר טוב, אמסטרדם ת""צ.",,מדרש תהילים – שוחר טוב,לא נמצא,Amsterdam,1730,,,,,
"מדרש שוחר טוב עם פירוש יבקש רצון מאת א' הלוי הורוויץ, לבוב תרי""א.",,מדרש תהילים – שוחר טוב,לא נמצא,Lviv,1851,,,,,
"מדרש שוחר טוב עם ביאור אהרן משה פאדווא, ורשה תרכ""ה.",,מדרש תהילים – שוחר טוב,לא נמצא,Warsaw,1965,,,,,
"מדרש תהילים המכונה שוחר טוב, מהד' ש' בובר, וילנה תרנ""א.",מהדורה ביקורתית,מדרש תהילים – שוחר טוב,לא נמצא,Vilna,1891,,,,,
"מדרש תהילים המבואר, ירושלים תשס""ב.",,מדרש תהילים – שוחר טוב,לא נמצא,Jerusalem,2002,,,,,
"W.G. Braude, The Midrash of Psalms, New Haven 1959.",,מדרש תהילים – שוחר טוב,לא נמצא,New Haven,1959,,,,,
"מדרש משלי, קושטא רע""ב-רע""ז.",דפוס חשוב,מדרש משלי,1.15:1:1.0,Constantinople,1512,,,,,
"מדרש שוחר טוב, ונציה ש""ו.",דפוס חשוב,מדרש משלי,1.15:1:1.0,Venice,1546,,,,,
"מדרש משלי, ש' בובר (מהדיר), וילנה תרנ""ג.",,מדרש משלי,1.15:1:1.0,Vilna,1613,,,,,
"מדרש משלי, ב' ויסוצקי (מהדיר), ניו יורק תש""ן.",כפולה,מדרש משלי,1.15:1:1.0,New York,1990,,,,,
"B.L. Visotzky, The Midrash on Proverbs, translated from the Hebrew with an introduction and annotations, New Haven 1992.",,מדרש משלי,1.15:1:1.0,New Haven,1992,,,,,
"אבות דרבי נתן, ש""ז שכטר (מהדיר), וינה תרמ""ז.",כפולה,אבות דרבי נתן,2:1:1.0,Vienna,1887,,,,,
"אבות דרבי נתן, מהדורה סינופטית של שתי הגרסות, ה""י בקר בהשתתפות ק' ברנר, טובינגן 2006.",כפולה,אבות דרבי נתן,2:1:1.0,Tübingen,2006,,,,,
