Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
75,ילקוטים לא מוכרים,1,990001942180205171,,"ספריית אוניברסיטת בר אילן, רמת גן, Ms. 1004","מדרשים קטנים - לפני בירור, אנתולוגיות לא מוכרות",קכ-קכב:מדרשים (בסגנון יתברך?); קנא - רכז: ליקוטי מדרשים ודברי חמכים (הרצף הארוך החשוב לנו); רכז - רלא: מדרש שיר השירים קודש קודשים; רלט - רמב: פרק הדין; רנא - רנג: גן עדן; רנה-רסג: ליקוטים כולל מדרשים; ,דורש בירור והכרעה,,,,,,
76,ילקוטים לא מוכרים,2,990000455740205171,,"הספרייה הלאומית, ירושלים, ישראל Ms. Heb. 28°3182 ","מדרשים קטנים - לפני בירור, אנתולוגיות לא מוכרות","חומרי מדרש פזורים בין חומרים שונים, טיבו לא ברור. ","יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",,,,,,
77,ילקוטים לא מוכרים,2,990001139100205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, ארצות הברית Ms. 4954",אנתולוגיות לא מוכרות,ילקוט מדרשים לחנוכה,,,,,,,
78,ילקוטים לא מוכרים,2,990000457520205171,,"הספרייה הלאומית, ירושלים, ישראל Ms. Heb. 28°3401","אנתולוגיות לא מוכרות, מדרשים קטנים - לפני בירור",קובץ מעורב. ,"יש לבדוק את מספר המערכת. הקובץ לכאורה מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",,,,,,
79,ילקוטים,1,990001092030205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, Ms. 8313",תלמוד תורה,ילקוט תלמוד תורה לבראשית,,,,,,,
80,ילקוטים לא מוכרים,1,990000801610205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2367",אנתולוגיות לא מוכרות,"חשוב במיוחד, בתשתית הילקוט חומר תנחומאי חשוב, כך ציינתי בעבר.",,,,,,,
81,מדרשי רבה,1,990001209670205171,,"הספרייה הבריטית, לונדון, אנגליה Add. 16406","בראשית רבה, מדרשים קטנים - לפני בירור",כולל גם מדרשי תנאים,"רשומה מוכפלת, נכתבה גם להלן בשורה 171",,,,,,
82,ילקוטים לא מוכרים,1,990001209750205171,,"הספרייה הבריטית, לונדון, אנגליה Add. 27292",אנתולוגיות לא מוכרות,ילקוט לא מוכר רחב יריעה. חשוב מאוד.,,,,,,,
83,פסיקתא ומדרשי נך,1,990000880120205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. Add. Qu. 79",פסיקתא דרב כהנא,,,,,,,,
84,פסיקתא ומדרשי נך,1,990000936260205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Marshall Or. 24","פסיקתא דרב כהנא, בריתא דמלאכת המשכן","כולל גם מדרשי תנאים, ספרא, ספרי ומכילתא דר' ישמעאל",,,,,,,
